entity,author,author-added,added-ownership,author-deleted,deleted-ownership
pretested-integration-plugin/ci/seed.groovy,_unassigned_,110,1.0,11,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,_unassigned_,272,1.0,246,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,_unassigned_,30,1.0,34,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,_unassigned_,10,1.0,4,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,_unassigned_,14,1.0,9,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,_unassigned_,406,1.0,284,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,_unassigned_,23,1.0,6,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/IntegrationUnknownFailureException.java,_unassigned_,82,1.0,41,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/AccumulatedCommitStrategy.java,_unassigned_,322,1.0,260,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/FindCommitAuthorCallback.java,_unassigned_,6,1.0,9,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/FindCommitMessageCallback.java,_unassigned_,6,1.0,9,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetAllCommitsFromBranchCallback.java,_unassigned_,18,1.0,21,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,_unassigned_,12,1.0,15,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitBridge.java,_unassigned_,786,1.0,818,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitIntegrationStrategy.java,_unassigned_,184,1.0,179,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitMessages.java,_unassigned_,6,1.0,6,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/IntegrationStrategyAsGitPluginExt.java,_unassigned_,80,1.0,41,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestTriggerCommitAction.java,_unassigned_,74,1.0,37,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationAsGitPluginExt.java,_unassigned_,484,1.0,290,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationGitUtils.java,_unassigned_,300,1.0,157,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/RepositoryListenerAwareCallback.java,_unassigned_,10,1.0,14,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/SquashCommitStrategy.java,_unassigned_,307,1.0,228,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/ChangelessBranchFailsBuildIT.java,_unassigned_,10,1.0,10,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CommitMessagesWithSpecialCharsIT.java,_unassigned_,22,1.0,21,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CustomIntegrationBranchIT.java,_unassigned_,4,1.0,4,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/FastForwardSingleCommitsIT.java,_unassigned_,18,1.0,15,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GeneralBehaviourIT.java,_unassigned_,29,1.0,39,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,_unassigned_,18,1.0,12,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitSubmoduleInteractionIT.java,_unassigned_,206,1.0,0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/IntegrationBranchNameRestrictions_IT.java,_unassigned_,6,1.0,3,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JENKINS_24754_IT.java,_unassigned_,38,1.0,168,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,_unassigned_,6,1.0,0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/PipAsGitExtensionIT.java,_unassigned_,159,1.0,26,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/StaticGitRepositoryTestBase.java,_unassigned_,7,1.0,7,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,_unassigned_,76,1.0,50,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TwoBranchHeadsIT.java,_unassigned_,3,1.0,7,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummyBridge.java,_unassigned_,10,1.0,5,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummySCM.java,_unassigned_,19,1.0,14,1.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/GitIntegrationStrategyTest.java,_unassigned_,22,1.0,11,1.0
