commit,risk,author,date,repository
e36eeb5,3,Praqma Service User,2018-01-19,pretested-integration-plugin
4fa13db,3,Praqma Service User,2018-01-19,pretested-integration-plugin
3e5c7fb,3,Praqma Service User,2018-01-19,pretested-integration-plugin
635f178,4,Praqma Service User,2018-01-18,pretested-integration-plugin
fbc16ae,7,Mads Nielsen,2018-01-17,pretested-integration-plugin
be2f0c3,1,Mads Nielsen,2018-01-17,pretested-integration-plugin
9a3be83,1,Mads Nielsen,2018-01-17,pretested-integration-plugin
428067f,1,Mads Nielsen,2018-01-17,pretested-integration-plugin
2bcc765,1,Mads Nielsen,2018-01-17,pretested-integration-plugin
3422ca4,4,Mads Nielsen,2018-01-16,pretested-integration-plugin
fc1ad82,2,Mads Nielsen,2018-01-16,pretested-integration-plugin
6774d1d,1,Bue Petersen,2018-01-16,pretested-integration-plugin
e65633e,2,Mads Nielsen,2018-01-15,pretested-integration-plugin
76ada34,2,Mads Nielsen,2018-01-15,pretested-integration-plugin
70ae219,3,Mads Nielsen,2018-01-12,pretested-integration-plugin
73e868c,1,Mads Nielsen,2018-01-12,pretested-integration-plugin
2562658,3,Mads Nielsen,2018-01-11,pretested-integration-plugin
573c6b8,1,Mads Nielsen,2018-01-11,pretested-integration-plugin
2dd79ff,1,Mads Nielsen,2018-01-11,pretested-integration-plugin
1baf81e,3,Claus Schneider (Praqma),2017-12-20,pretested-integration-plugin
f5e0857,2,Simon Grønborg,2017-12-06,pretested-integration-plugin
cc74f8d,5,Simon Grønborg,2017-12-04,pretested-integration-plugin
efd4a4b,4,Simon Grønborg,2017-12-04,pretested-integration-plugin
7fc0484,2,Simon Grønborg,2017-12-04,pretested-integration-plugin
9121fe9,7,Simon Grønborg,2017-11-22,pretested-integration-plugin
462a2fa,3,Simon Groenborg,2017-10-12,pretested-integration-plugin
8090a45,1,Simon Groenborg,2017-10-12,pretested-integration-plugin
1122c8a,1,Simon Groenborg,2017-10-12,pretested-integration-plugin
c3ac667,6,Mads Nielsen,2017-10-04,pretested-integration-plugin
893ef0d,3,Simon Groenborg,2017-10-04,pretested-integration-plugin
b5c3c69,1,Simon Groenborg,2017-10-04,pretested-integration-plugin
aae2112,9,Simon Groenborg,2017-10-03,pretested-integration-plugin
31e3a82,6,Simon Groenborg,2017-10-03,pretested-integration-plugin
14d49c8,6,Simon Groenborg,2017-10-03,pretested-integration-plugin
5f92195,5,Simon Groenborg,2017-10-03,pretested-integration-plugin
3cf0be1,5,Simon Groenborg,2017-10-03,pretested-integration-plugin
fb603fd,4,Simon Groenborg,2017-10-03,pretested-integration-plugin
aa5bfe4,4,Simon Groenborg,2017-10-03,pretested-integration-plugin
870db97,4,Simon Groenborg,2017-10-03,pretested-integration-plugin
c7378f0,3,Simon Groenborg,2017-10-03,pretested-integration-plugin
fbab4f1,6,Simon Groenborg,2017-10-02,pretested-integration-plugin
d8be0fd,4,Simon Groenborg,2017-09-29,pretested-integration-plugin
76111f2,4,Simon Groenborg,2017-09-29,pretested-integration-plugin
f6e31b4,1,Simon Groenborg,2017-09-29,pretested-integration-plugin
a2b13e4,2,Simon Groenborg,2017-09-28,pretested-integration-plugin
5be983b,1,Simon Groenborg,2017-09-28,pretested-integration-plugin
4df0ae3,1,Simon Groenborg,2017-09-28,pretested-integration-plugin
3afcef5,1,Simon Groenborg,2017-09-28,pretested-integration-plugin
90547fc,4,Florent Haxha,2017-09-27,pretested-integration-plugin
588d254,1,Simon Groenborg,2017-09-27,pretested-integration-plugin
3277132,1,Simon Groenborg,2017-09-27,pretested-integration-plugin
4d341d8,9,Simon Groenborg,2017-09-26,pretested-integration-plugin
0621c68,6,Florent Haxha,2017-09-26,pretested-integration-plugin
bf8b2c9,3,Florent Haxha,2017-09-26,pretested-integration-plugin
6566b30,1,Simon Groenborg,2017-09-26,pretested-integration-plugin
56e8726,4,Bue Petersen,2017-09-20,pretested-integration-plugin
40099cf,4,Bue Petersen,2017-09-20,pretested-integration-plugin
a7c5561,1,Bue Petersen,2017-09-20,pretested-integration-plugin
1f04565,1,Bue Petersen,2017-09-20,pretested-integration-plugin
cae1995,4,Claus Schneider(Praqma),2017-09-12,pretested-integration-plugin
145f35c,6,Claus Schneider(Praqma),2017-09-07,pretested-integration-plugin
c629528,5,Claus Schneider(Praqma),2017-08-31,pretested-integration-plugin
f4d28b9,7,Claus Schneider(Praqma),2017-08-28,pretested-integration-plugin
f0c9a89,6,Claus Schneider(Praqma),2017-08-24,pretested-integration-plugin
90ffaf8,5,Claus Schneider(Praqma),2017-08-15,pretested-integration-plugin
efd502a,10,Claus Schneider(Praqma),2017-08-04,pretested-integration-plugin
69bbb35,2,Thierry Lacour,2017-03-02,pretested-integration-plugin
8f5d063,2,Thierry Lacour,2017-03-01,pretested-integration-plugin
1c2ef48,2,Mads Nielsen,2017-02-03,pretested-integration-plugin
2ce518f,1,Mads Nielsen,2016-06-13,pretested-integration-plugin
52a9d2d,2,Mads Nielsen,2016-06-08,pretested-integration-plugin
5775457,3,Mads Nielsen,2016-06-02,pretested-integration-plugin
b6d72e1,2,Thierry Lacour,2016-04-06,pretested-integration-plugin
ea9bd9c,5,Thierry Lacour,2015-11-18,pretested-integration-plugin
c1363d3,4,Thierry Lacour,2015-11-18,pretested-integration-plugin
3d2cd0c,3,Thierry Lacour,2015-11-02,pretested-integration-plugin
b91ba9b,10,Thierry Lacour,2015-10-27,pretested-integration-plugin
3f74109,2,Mads Nielsen,2015-10-23,pretested-integration-plugin
80d066a,1,Mads Nielsen,2015-10-23,pretested-integration-plugin
571778d,9,Thierry Lacour,2015-10-22,pretested-integration-plugin
e8ed19c,3,Thierry Lacour,2015-10-22,pretested-integration-plugin
019c19b,3,Mads Nielsen,2015-10-22,pretested-integration-plugin
146fefe,2,Thierry Lacour,2015-10-22,pretested-integration-plugin
0ce224f,10,Thierry Lacour,2015-10-15,pretested-integration-plugin
9f1778a,7,Thierry Lacour,2015-10-12,pretested-integration-plugin
f3a2cac,4,Thierry Lacour,2015-10-12,pretested-integration-plugin
e24b770,3,Mads Nielsen,2015-10-12,pretested-integration-plugin
13df72c,1,Mads Nielsen,2015-10-12,pretested-integration-plugin
9b6d14d,7,Thierry Lacour,2015-09-23,pretested-integration-plugin
a404263,3,Thierry Lacour,2015-09-14,pretested-integration-plugin
f93843a,5,Thierry Lacour,2015-09-11,pretested-integration-plugin
ad7569e,2,Thierry Lacour,2015-08-27,pretested-integration-plugin
9b4e052,6,Bue Petersen,2015-07-12,pretested-integration-plugin
a48f690,6,Bue Petersen,2015-07-07,pretested-integration-plugin
3495706,4,Bue Petersen,2015-07-07,pretested-integration-plugin
79f125e,6,Bue Petersen,2015-06-29,pretested-integration-plugin
ea943f3,5,Bue Petersen,2015-06-29,pretested-integration-plugin
8702ef4,4,Bue Petersen,2015-06-29,pretested-integration-plugin
7d9f16e,5,Mads Nielsen,2015-05-27,pretested-integration-plugin
86363f8,1,Bue Petersen,2015-04-15,pretested-integration-plugin
87c781b,1,Bue Petersen,2015-04-13,pretested-integration-plugin
bba9930,3,Bue Petersen,2015-04-05,pretested-integration-plugin
98d03cb,4,Bue Petersen,2015-04-01,pretested-integration-plugin
f7457d7,3,Bue Petersen,2015-04-01,pretested-integration-plugin
f222c75,1,Bue Petersen,2015-04-01,pretested-integration-plugin
15aa4e8,6,Bue Petersen,2015-03-31,pretested-integration-plugin
6050417,6,Bue Petersen,2015-03-06,pretested-integration-plugin
b3bfd2d,3,Bue Petersen,2015-03-06,pretested-integration-plugin
df43387,1,Bue Petersen,2015-03-06,pretested-integration-plugin
1657040,1,Andrius Ordojan,2015-01-28,pretested-integration-plugin
da8b510,1,Andrius Ordojan,2015-01-27,pretested-integration-plugin
3d85657,1,Andrius Ordojan,2015-01-27,pretested-integration-plugin
052bc26,1,Andrius Ordojan,2015-01-27,pretested-integration-plugin
0135c4b,1,Andrius Ordojan,2015-01-27,pretested-integration-plugin
55029cb,4,Mads Nielsen,2014-12-16,pretested-integration-plugin
64208a4,1,Bue Petersen,2014-12-11,pretested-integration-plugin
e7412ff,1,Bue Petersen,2014-12-10,pretested-integration-plugin
4523980,5,Bue Petersen,2014-12-09,pretested-integration-plugin
9cda554,1,Bue Petersen,2014-12-09,pretested-integration-plugin
70cc37d,3,Bue Petersen,2014-12-07,pretested-integration-plugin
aa41c56,1,Bue Petersen,2014-12-07,pretested-integration-plugin
703a6ca,7,Mads Nielsen,2014-12-03,pretested-integration-plugin
c9e2801,2,Mads Nielsen,2014-12-03,pretested-integration-plugin
2a5bdc6,2,Mads Nielsen,2014-12-03,pretested-integration-plugin
1d0e650,1,Bue Petersen,2014-12-02,pretested-integration-plugin
e110023,5,Mads Nielsen,2014-11-24,pretested-integration-plugin
475dfea,3,Mads Nielsen,2014-11-24,pretested-integration-plugin
f7ce714,2,Mads Nielsen,2014-11-24,pretested-integration-plugin
22965d9,1,Mads Nielsen,2014-11-24,pretested-integration-plugin
89de823,2,Mads Nielsen,2014-11-14,pretested-integration-plugin
e91d7bb,1,Mads Nielsen,2014-11-14,pretested-integration-plugin
45fcae0,1,Bue Petersen,2014-11-10,pretested-integration-plugin
9a68e17,6,Mads Nielsen,2014-11-05,pretested-integration-plugin
2dea6cb,4,Mads Nielsen,2014-11-05,pretested-integration-plugin
d649e78,3,Mads Nielsen,2014-11-05,pretested-integration-plugin
0c71a13,7,Andrius Ordojan,2014-11-04,pretested-integration-plugin
bdc8373,6,Mads Nielsen,2014-11-04,pretested-integration-plugin
d57f720,5,Mads Nielsen,2014-11-04,pretested-integration-plugin
efff1b1,2,Mads Nielsen,2014-11-04,pretested-integration-plugin
ad26f89,1,Mads Nielsen,2014-11-04,pretested-integration-plugin
5d57e8f,1,Mads Nielsen,2014-10-31,pretested-integration-plugin
75da0ea,1,Mads Nielsen,2014-10-03,pretested-integration-plugin
123797f,4,Mads Nielsen,2014-09-30,pretested-integration-plugin
9412baa,3,Mads Nielsen,2014-09-30,pretested-integration-plugin
58d4650,2,Mads Nielsen,2014-09-30,pretested-integration-plugin
decab30,4,Andrius Ordojan,2014-09-29,pretested-integration-plugin
6f660b7,3,Mads Nielsen,2014-09-29,pretested-integration-plugin
f6cd8c0,1,Mads Nielsen,2014-09-29,pretested-integration-plugin
7efffaa,1,Andrius Ordojan,2014-09-29,pretested-integration-plugin
6b7edb2,1,Bue Petersen,2014-09-29,pretested-integration-plugin
686e067,1,Bue Petersen,2014-09-29,pretested-integration-plugin
95f2a28,4,Andrius Ordojan,2014-09-26,pretested-integration-plugin
4e2720e,2,Mads Nielsen,2014-09-26,pretested-integration-plugin
832e847,1,Andrius Ordojan,2014-09-26,pretested-integration-plugin
1b97dc6,2,Mads Nielsen,2014-09-25,pretested-integration-plugin
a5dfb7e,1,Mads Nielsen,2014-09-25,pretested-integration-plugin
38f8335,4,Mads Nielsen,2014-09-24,pretested-integration-plugin
115f380,4,Mads Nielsen,2014-09-24,pretested-integration-plugin
97713c7,3,Andrius Ordojan,2014-09-24,pretested-integration-plugin
f085eb2,1,Mads Nielsen,2014-09-24,pretested-integration-plugin
946e89d,1,Andrius Ordojan,2014-09-24,pretested-integration-plugin
837d97c,1,Mads Nielsen,2014-09-24,pretested-integration-plugin
61167cc,1,Andrius Ordojan,2014-09-24,pretested-integration-plugin
3c42535,1,Andrius Ordojan,2014-09-24,pretested-integration-plugin
15c9e02,1,Andrius Ordojan,2014-09-23,pretested-integration-plugin
6d9bc1f,5,Mads Nielsen,2014-09-19,pretested-integration-plugin
567be30,3,Andrius Ordojan,2014-09-19,pretested-integration-plugin
ae374f4,3,Andrius Ordojan,2014-09-18,pretested-integration-plugin
0040081,3,Mads Nielsen,2014-09-18,pretested-integration-plugin
b8ea4fb,2,Mads Nielsen,2014-09-18,pretested-integration-plugin
a3b2dd6,2,Mads Nielsen,2014-09-18,pretested-integration-plugin
6d8873b,2,Mads Nielsen,2014-09-18,pretested-integration-plugin
271d748,2,Mads Nielsen,2014-09-18,pretested-integration-plugin
a9c78e0,3,Andrius Ordojan,2014-09-16,pretested-integration-plugin
1fbe871,1,Andrius Ordojan,2014-09-08,pretested-integration-plugin
45f7af3,3,Andrius Ordojan,2014-09-05,pretested-integration-plugin
2c03f27,1,Andrius Ordojan,2014-09-05,pretested-integration-plugin
9a9c1fc,4,Andrius Ordojan,2014-09-04,pretested-integration-plugin
a9a59d6,1,Andrius Ordojan,2014-09-04,pretested-integration-plugin
6d9f618,1,Andrius Ordojan,2014-09-04,pretested-integration-plugin
282ae03,3,Aske Olsson,2014-08-22,pretested-integration-plugin
08877d4,3,Aske Olsson,2014-08-22,pretested-integration-plugin
daa6ceb,1,Andrius Ordojan,2014-08-21,pretested-integration-plugin
8416db4,1,Andrius Ordojan,2014-08-21,pretested-integration-plugin
4d130ec,1,Andrius Ordojan,2014-08-21,pretested-integration-plugin
2a74167,1,Andrius Ordojan,2014-08-21,pretested-integration-plugin
1b4bba9,1,Andrius Ordojan,2014-08-20,pretested-integration-plugin
d022700,1,Andrius Ordojan,2014-08-19,pretested-integration-plugin
51c0d9f,1,Andrius Ordojan,2014-08-19,pretested-integration-plugin
10bee82,1,Andrius Ordojan,2014-08-19,pretested-integration-plugin
0b3b5cb,1,Andrius Ordojan,2014-08-19,pretested-integration-plugin
dce9194,3,Andrius Ordojan,2014-08-18,pretested-integration-plugin
ed61d1e,1,Andrius Ordojan,2014-08-18,pretested-integration-plugin
dd8ae5c,1,Andrius Ordojan,2014-08-15,pretested-integration-plugin
7d0bf3c,1,Andrius Ordojan,2014-08-15,pretested-integration-plugin
0096fcf,6,Jes Struck,2014-06-18,pretested-integration-plugin
5eb352a,2,Mads Nielsen,2014-05-20,pretested-integration-plugin
74c1289,1,Mads Nielsen,2014-05-20,pretested-integration-plugin
0e91068,1,Mads Nielsen,2014-05-19,pretested-integration-plugin
a8082eb,5,Mads Nielsen,2014-05-15,pretested-integration-plugin
1937f11,1,Mads Nielsen,2014-05-15,pretested-integration-plugin
21bd775,4,Mads Nielsen,2014-05-13,pretested-integration-plugin
bb68788,1,Mads Nielsen,2014-05-09,pretested-integration-plugin
b9ecf7e,5,Mads Nielsen,2014-05-02,pretested-integration-plugin
3363041,4,Mads Nielsen,2014-04-28,pretested-integration-plugin
dcabe06,2,Mads Nielsen,2014-04-24,pretested-integration-plugin
ed5f03e,1,Mads Nielsen,2014-04-24,pretested-integration-plugin
b628988,1,Mads Nielsen,2014-04-24,pretested-integration-plugin
626d89d,2,Mads Nielsen,2014-04-23,pretested-integration-plugin
d1d1441,1,Mads Nielsen,2014-04-23,pretested-integration-plugin
47b817d,2,Mads Nielsen,2014-04-15,pretested-integration-plugin
b2bab1d,2,Ronni Elken Lindsgaard,2013-12-06,pretested-integration-plugin
155f070,1,Ronni Elken Lindsgaard,2013-12-02,pretested-integration-plugin
5e13c93,1,Ronni Elken Lindsgaard,2013-10-19,pretested-integration-plugin
5835a7e,1,Ronni Elken Lindsgaard,2013-09-08,pretested-integration-plugin
313cc82,1,Ronni Elken Lindsgaard,2013-08-04,pretested-integration-plugin
2e53213,1,Ronni Elken Lindsgaard,2013-08-03,pretested-integration-plugin
93f23f7,2,Ronni Elken Lindsgaard,2013-07-26,pretested-integration-plugin
3c46fdb,2,Ronni Elken Lindsgaard,2013-07-10,pretested-integration-plugin
6f8d84f,1,Ronni Elken Lindsgaard,2013-07-03,pretested-integration-plugin
2f9dcb6,2,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
ebcca37,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
b7140ad,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
9372def,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
891178b,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
7f60ede,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
79e1b55,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
5873eab,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
1475c49,1,Ronni Elken Lindsgaard,2013-07-02,pretested-integration-plugin
f5dd016,1,Ronni Elken Lindsgaard,2013-07-01,pretested-integration-plugin
d3ac640,1,Ronni Elken Lindsgaard,2013-07-01,pretested-integration-plugin
c96da1d,1,Ronni Elken Lindsgaard,2013-07-01,pretested-integration-plugin
1921604,1,Ronni Elken Lindsgaard,2013-07-01,pretested-integration-plugin
a786c18,2,Ronni Elken Lindsgaard,2013-06-30,pretested-integration-plugin
a5c0228,2,Ronni Elken Lindsgaard,2013-06-30,pretested-integration-plugin
7219138,1,Ronni Elken Lindsgaard,2013-06-29,pretested-integration-plugin
ee7c8aa,1,Ronni Elken Lindsgaard,2013-06-20,pretested-integration-plugin
a2c0259,1,Ronni Elken Lindsgaard,2013-06-20,pretested-integration-plugin
3708793,1,Ronni Elken Lindsgaard,2013-06-10,pretested-integration-plugin
e80fe8a,1,Ronni Elken Lindsgaard,2013-06-08,pretested-integration-plugin
17030ec,2,Andreas Frisch,2013-06-05,pretested-integration-plugin
d8c8504,1,Alexander Uldall,2013-06-02,pretested-integration-plugin
7be90f7,1,Esben Skaarup,2013-06-02,pretested-integration-plugin
559e84a,1,Esben Skaarup,2013-06-02,pretested-integration-plugin
aae43e2,1,Alexander Uldall,2013-05-20,pretested-integration-plugin
ba656f8,1,Alexander Uldall,2013-05-19,pretested-integration-plugin
60bc243,1,Esben Skaarup,2013-05-19,pretested-integration-plugin
e2d9928,1,Esben Skaarup,2013-05-15,pretested-integration-plugin
8ed58d8,1,Alexander Uldall,2013-05-15,pretested-integration-plugin
59d07d6,1,Alexander Uldall,2013-05-06,pretested-integration-plugin
79450cb,1,Alexander Uldall,2013-05-04,pretested-integration-plugin
7246a3e,1,Ronni Elken Lindsgaard,2013-05-04,pretested-integration-plugin
6863d8b,1,Alexander Uldall,2013-04-28,pretested-integration-plugin
5a2e02f,1,Alexander Uldall,2013-04-26,pretested-integration-plugin
f3b36be,1,Esben Skaarup,2013-04-24,pretested-integration-plugin
aa182d5,1,Alexander Uldall,2013-04-24,pretested-integration-plugin
15ec539,1,Esben Skaarup,2013-04-24,pretested-integration-plugin
11ee25b,1,Esben Skaarup,2013-04-24,pretested-integration-plugin
3d43b5b,2,Andreas Frisch,2013-04-20,pretested-integration-plugin
5df454e,1,Esben Skaarup,2013-04-15,pretested-integration-plugin
10670cf,2,Andreas Frisch,2013-04-13,pretested-integration-plugin
f92ab4b,1,Alexander Uldall,2013-04-13,pretested-integration-plugin
